rules,,support,confidence,coverage,lift,count
97,"{YouthBks,DoItYBks,RefBks,GeogBks} => {CookBks}",0.029,0.892307692,0.0325,2.070319472,58
98,"{YouthBks,CookBks,DoItYBks,RefBks} => {GeogBks}",0.029,0.597938144,0.0485,2.166442552,58
99,"{YouthBks,CookBks,RefBks,GeogBks} => {DoItYBks}",0.029,0.604166667,0.048,2.142434988,58
100,"{CookBks,DoItYBks,RefBks,GeogBks} => {YouthBks}",0.029,0.585858586,0.0495,2.367105397,58
101,"{ChildBks,YouthBks,DoItYBks,RefBks} => {CookBks}",0.044,0.830188679,0.053,1.926191831,88
102,"{YouthBks,CookBks,DoItYBks,RefBks} => {ChildBks}",0.044,0.907216495,0.0485,2.144719846,88
103,"{ChildBks,YouthBks,CookBks,RefBks} => {DoItYBks}",0.044,0.647058824,0.068,2.294534835,88
104,"{ChildBks,CookBks,DoItYBks,RefBks} => {YouthBks}",0.044,0.590604027,0.0745,2.386278896,88
105,"{ChildBks,YouthBks,CookBks,DoItYBks} => {RefBks}",0.044,0.536585366,0.082,2.501563477,88
106,"{ChildBks,YouthBks,RefBks,GeogBks} => {CookBks}",0.044,0.854368932,0.0515,1.982294506,88
107,"{YouthBks,CookBks,RefBks,GeogBks} => {ChildBks}",0.044,0.916666667,0.048,2.167060678,88
108,"{ChildBks,YouthBks,CookBks,RefBks} => {GeogBks}",0.044,0.647058824,0.068,2.344416027,88
109,"{ChildBks,CookBks,RefBks,GeogBks} => {YouthBks}",0.044,0.560509554,0.0785,2.264685067,88
110,"{ChildBks,YouthBks,CookBks,GeogBks} => {RefBks}",0.044,0.530120482,0.083,2.471424158,88
111,"{DoItYBks,RefBks,ArtBks,GeogBks} => {ChildBks}",0.0275,0.859375,0.032,2.031619385,55
112,"{ChildBks,DoItYBks,RefBks,ArtBks} => {GeogBks}",0.0275,0.597826087,0.046,2.166036547,55
113,"{ChildBks,RefBks,ArtBks,GeogBks} => {DoItYBks}",0.0275,0.555555556,0.0495,1.970055162,55
114,"{ChildBks,DoItYBks,RefBks,GeogBks} => {ArtBks}",0.0275,0.523809524,0.0525,2.173483501,55
115,"{DoItYBks,RefBks,ArtBks,GeogBks} => {CookBks}",0.0275,0.859375,0.032,1.993909513,55
116,"{CookBks,DoItYBks,RefBks,ArtBks} => {GeogBks}",0.0275,0.647058824,0.0425,2.344416027,55
117,"{CookBks,RefBks,ArtBks,GeogBks} => {DoItYBks}",0.0275,0.597826087,0.046,2.119950663,55
118,"{CookBks,DoItYBks,RefBks,GeogBks} => {ArtBks}",0.0275,0.555555556,0.0495,2.305209774,55
119,"{ChildBks,DoItYBks,RefBks,ArtBks} => {CookBks}",0.037,0.804347826,0.046,1.866236255,74
120,"{CookBks,DoItYBks,RefBks,ArtBks} => {ChildBks}",0.037,0.870588235,0.0425,2.058128216,74
121,"{ChildBks,CookBks,RefBks,ArtBks} => {DoItYBks}",0.037,0.606557377,0.061,2.150912685,74
122,"{ChildBks,RefBks,ArtBks,GeogBks} => {CookBks}",0.0405,0.818181818,0.0495,1.898333685,81
123,"{CookBks,RefBks,ArtBks,GeogBks} => {ChildBks}",0.0405,0.880434783,0.046,2.081406105,81
124,"{ChildBks,CookBks,RefBks,ArtBks} => {GeogBks}",0.0405,0.663934426,0.061,2.405559515,81
125,"{ChildBks,CookBks,RefBks,GeogBks} => {ArtBks}",0.0405,0.515923567,0.0785,2.140761688,81
126,"{ChildBks,DoItYBks,RefBks,GeogBks} => {CookBks}",0.045,0.857142857,0.0525,1.988730527,90
127,"{CookBks,DoItYBks,RefBks,GeogBks} => {ChildBks}",0.045,0.909090909,0.0495,2.149151085,90
128,"{ChildBks,CookBks,DoItYBks,RefBks} => {GeogBks}",0.045,0.604026846,0.0745,2.188503064,90
129,"{ChildBks,CookBks,RefBks,GeogBks} => {DoItYBks}",0.045,0.573248408,0.0785,2.032795772,90
130,"{ChildBks,CookBks,DoItYBks,GeogBks} => {RefBks}",0.045,0.505617978,0.089,2.357193368,90
131,"{YouthBks,DoItYBks,ArtBks,GeogBks} => {ChildBks}",0.0335,0.848101266,0.0395,2.004967531,67
132,"{ChildBks,YouthBks,DoItYBks,ArtBks} => {GeogBks}",0.0335,0.656862745,0.051,2.379937482,67
133,"{ChildBks,YouthBks,ArtBks,GeogBks} => {DoItYBks}",0.0335,0.609090909,0.055,2.159896841,67
134,"{ChildBks,YouthBks,DoItYBks,GeogBks} => {ArtBks}",0.0335,0.592920354,0.0565,2.460250431,67
135,"{ChildBks,DoItYBks,ArtBks,GeogBks} => {YouthBks}",0.0335,0.56302521,0.0595,2.274849334,67
136,"{YouthBks,DoItYBks,ArtBks,GeogBks} => {CookBks}",0.037,0.936708861,0.0395,2.173338424,74
137,"{YouthBks,CookBks,DoItYBks,ArtBks} => {GeogBks}",0.037,0.704761905,0.0525,2.553485162,74
138,"{YouthBks,CookBks,ArtBks,GeogBks} => {DoItYBks}",0.037,0.660714286,0.056,2.34295846,74
139,"{YouthBks,CookBks,DoItYBks,GeogBks} => {ArtBks}",0.037,0.616666667,0.06,2.558782849,74
140,"{CookBks,DoItYBks,ArtBks,GeogBks} => {YouthBks}",0.037,0.569230769,0.065,2.2999223,74
141,"{ChildBks,YouthBks,DoItYBks,ArtBks} => {CookBks}",0.0445,0.87254902,0.051,2.024475684,89
142,"{YouthBks,CookBks,DoItYBks,ArtBks} => {ChildBks}",0.0445,0.847619048,0.0525,2.003827536,89
143,"{ChildBks,YouthBks,CookBks,ArtBks} => {DoItYBks}",0.0445,0.664179104,0.067,2.355245051,89
